SegmentId;TargetPlatform;LandingOffset_m;LandingOffset_Forward_m;LandingOffset_Side_m;SafetyMargin_m;VerticalSpeed_mps;ApproachAngle_deg;MicroCorrections_0_5s;PreLandingHorizontalJitter;PostStabilizationTime_s;PostLandingDrift_m;LandingFailed;PostLandingFall;LandingType
LandingSegment_1;TargetAnchor1;1.009272;0.9811401;0.2366295;2.155649;0;0;0;0.6670018;0.7133751;1.241978;0;0;CleanLanding
LandingSegment_2;TargetAnchor2;0.9723303;0.6576538;0.7161827;2.412021;0;0;0;1.602944;1.215569;1.181483;0;0;CleanLanding
LandingSegment_3;TargetAnchor3;1.212247;0.1787872;-1.19899;1.820974;0;0;0;0;0.5470905;0.2624463;0;0;CleanLanding
LandingSegment_4;TargetAnchor4;1.248408;1.24472;0.09588623;1.651867;0;0;0;1.464715;0;8.326993;1;1;HitThenFall
LandingSegment_5;TargetAnchor5;30.02573;29.94472;-2.204117;0;0;0;0;0;0;0;1;1;MissedPlatform_Fall
LandingSegment_6;TargetAnchor1;1.480475;0.4049683;1.424011;1.528688;0;0;0;1.322254;0.666153;1.352359;0;0;CleanLanding
LandingSegment_7;TargetAnchor2;0.7773998;0.7182465;-0.2974434;2.560052;0;0;0;0.37618;0.4584846;0.0733349;0;0;CleanLanding
LandingSegment_8;TargetAnchor3;0.6503531;0.4825134;-0.4360504;2.479648;0;0;0;0.2148536;0.532177;0.2156076;0;0;CleanLanding
LandingSegment_9;TargetAnchor4;28.9879;28.81252;3.183945;0;0;0;0;0;0;0;1;1;MissedPlatform_Fall
LandingSegment_10;TargetAnchor1;1.888846;0.9378052;1.639591;1.166476;0;0;0;0.3816504;1.288952;1.812703;0;0;CleanLanding
LandingSegment_11;TargetAnchor2;1.793208;1.75679;-0.3595619;1.53809;0;0;0;2.072541;0;8.341814;1;1;HitThenFall
LandingSegment_12;TargetAnchor3;27.43334;22.89678;15.11044;0;0;0;0;0;0;0;1;1;MissedPlatform_Fall
LandingSegment_13;TargetAnchor1;3.060315;1.059326;2.871124;0;3.108113;42.871;0;0.05127582;0;10.37421;1;1;MissedPlatform_Fall
LandingSegment_14;TargetAnchor2;28.29418;22.60934;17.01112;0;3.108113;42.871;0;0;0;0;1;1;MissedPlatform_Fall
LandingSegment_15;TargetAnchor1;3.060315;1.059326;2.871124;0;3.108113;42.871;0;0;0;0;1;1;MissedPlatform_Fall
