AttemptID;SegmentId;TargetPlatform;LandingOffset_m;LandingOffset_Forward_m;LandingOffset_Side_m;SafetyMargin_m;VerticalSpeed_mps;ApproachAngle_deg;MicroCorrections_0_5s;PreLandingHorizontalJitter;PostStabilizationTime_s;PostLandingDrift_m;LandingFailed;PostLandingFall;LandingType
1;LandingSegment_1;TargetAnchor1;2.263473;0.4532471;2.217628;0.7358232;-7.594639;0;0;1.044125;0.6409764;2.014179;0;0;CleanLanding
1;LandingSegment_2;TargetAnchor2;1.640316;1.306885;-0.9913063;1.715679;-10.76655;0;0;0.2479789;1.734468;2.612583;0;0;CleanLanding
1;LandingSegment_3;TargetAnchor3;0.2825585;-0.2695236;-0.08483124;2.555722;-12.74009;0;0;0.1226682;0.5282888;0.1783775;0;0;CleanLanding
1;LandingSegment_4;TargetAnchor4;28.28229;28.06048;3.535164;0;-12.74009;0;0;0.091607;0;0;1;1;MissedPlatform_Fall
2;LandingSegment_5;TargetAnchor1;0.4914006;0.06410217;0.4872017;2.469975;-4.065331;0;0;0.02883084;0.5212669;0.2222629;0;0;CleanLanding
2;LandingSegment_6;TargetAnchor2;2.849947;1.961395;2.067638;0.5374496;-9.861157;0;0;2.148716;2.000793;12.48677;0;0;CleanLanding
2;LandingSegment_7;TargetAnchor3;29.00419;23.10139;17.53764;0;-9.861157;0;0;1.20074;0;0;1;1;MissedPlatform_Fall
3;LandingSegment_8;TargetAnchor1;24.56573;7.463257;23.4046;0;-10.05001;0;0;1.373974;0.7434654;3.056089;1;0;MissedPlatform_Standing
3;LandingSegment_9;TargetAnchor1;2.799829;1.287277;2.486355;0.2507975;-5.241336;0;0;0.2501028;0;6.588281;1;1;HitThenFall
3;LandingSegment_10;TargetAnchor2;28.2485;22.8373;16.62635;0;-5.241336;0;0;0;0;0;1;1;MissedPlatform_Fall
