SegmentId;TargetPlatform;LandingOffset_m;LandingOffset_Forward_m;LandingOffset_Side_m;SafetyMargin_m;VerticalSpeed_mps;ApproachAngle_deg;MicroCorrections_0_5s;PreLandingHorizontalJitter;PostStabilizationTime_s;PostLandingDrift_m;LandingFailed;PostLandingFall;LandingType
LandingSegment_1;TargetAnchor1;0.534252;0.5190125;0.1266937;2.62652;-7.723146;0;0;0.01696603;0.4772778;0.07808917;0;0;CleanLanding
LandingSegment_2;TargetAnchor2;0.1845998;0.0973053;0.1568718;3.195005;-8.955544;0;0;0.3653905;0.512413;0.1669267;0;0;CleanLanding
LandingSegment_3;TargetAnchor3;0.8368493;-0.8242645;0.1445847;1.992208;-8.088089;0;0;1.644197;0.4145432;0.03452932;0;0;CleanLanding
LandingSegment_4;TargetAnchor4;1.055432;0.09913635;-1.050766;1.930531;-11.55546;0;0;0;0.4442024;0.05989566;0;0;CleanLanding
LandingSegment_5;TargetAnchor5;0.5781375;-0.462204;0.34729;2.63472;-10.04941;0;0;1.379489;1.394278;2.193816;0;0;CleanLanding
LandingSegment_6;TargetAnchor6;1.907144;1.837315;-0.5113449;0.9965844;-7.017204;0;0;1.400322;2.010132;2.592138;0;0;CleanLanding
LandingSegment_7;TargetAnchor7;32.31533;30.8373;-9.661346;0;-7.017204;0;0;0.7189869;0;0;1;1;MissedPlatform_Fall
LandingSegment_8;TargetAnchor1;0.7498751;0.3865814;0.6425476;2.296439;-8.275709;0;0;0.2399708;0.7093391;1.743474;0;0;CleanLanding
LandingSegment_9;TargetAnchor2;1.468689;1.460648;-0.1534767;1.86118;-7.997437;0;0;0.6976085;0.9655838;1.013236;0;0;CleanLanding
LandingSegment_10;TargetAnchor3;0.3872535;0.3849106;-0.04253387;2.783909;-9.09414;0;0;0.3745604;0.5025749;0.08843082;0;0;CleanLanding
LandingSegment_11;TargetAnchor4;1.294128;1.265121;-0.2724609;1.607956;-11.01591;0;0;0.8289419;1.682514;1.581116;0;0;CleanLanding
LandingSegment_12;TargetAnchor5;0.8838154;0.8744507;0.1283188;2.010544;-9.968939;0;0;0.157651;1.534931;2.151077;0;0;CleanLanding
LandingSegment_13;TargetAnchor6;2.079822;1.885181;-0.8784943;0.7799077;-10.72135;0;0;0.4034043;1.365395;2.260916;0;0;CleanLanding
LandingSegment_14;TargetAnchor7;0.5877915;0.3839617;-0.4450531;2.405622;-10.16724;0;0;1.202139;1.36911;1.40649;0;0;CleanLanding
LandingSegment_15;TargetAnchor8;4.620342;-1.432696;4.392601;0;-8.109964;0;0;0;0.8386917;4.697181;1;0;MissedPlatform_Standing
